"Timestamp","Что вам нравится в игре Generals Zero Hour?","Участвуете ли вы в многопользовательских лигах, турнирах или соревнованиях?","Какие платформы вы используете для игры с другими людьми?","Используете ли вы что-то из ниже перечисленного?","Во время игры в одиночном или многопользовательском режиме сталкиваетесь ли вы с какими-либо игровыми проблемами, которые вас расстраивают?","Сталкиваетесь ли вы с проблемами баланса фракций (армий), которые кажутся несправедливыми или нечестными, когда играете в многопользовательском режиме?","Если отбросить все моды сообщества, насколько вы довольны общим состоянием оригинальной версии Zero Hour 1.04?","Если бы Electronic Arts (EA) сегодня выпустила новый патч на Generals Zero Hour 1.04, исправляющий эксплойты, ошибки, дисбаланс и улучшающий производительность, графику и звуки, насколько вы были бы этому рады?","Если бы Пользователи Сообщества выпустили сегодня патч на Generals Zero Hour 1.04 и исправили эксплойты, ошибки, дисбаланс и улучшили производительность, графику и звуки, насколько бы вы были этому рады?","Какие изменения в патче,  в основном касающихся мультиплеера, были бы приемлемы для вас, помимо исправлений и улучшений?","Если в оригинальной игре есть баг или ошибка, предпочли бы вы, чтобы она была исправлена, даже если бы из-за этого изменился геймплей?","Если в оригинальной игре есть дисбаланс, который невозможно исправить просто изменив стоимость и время строительства, вы бы предпочли, чтобы дисбаланс был исправлен даже если бы из-за этого изменился геймплей?","Если бы Пользователи Сообщества выпустили и распространили новый патч с исправлениями и улучшениями, беспокоились бы вы о том, насколько успешно он будет принят широкой аудиторией мультиплеера? (Разделение игроков на два лагеря)","Стал бы новый патч с исправлениями и улучшениями для вас стимулом, чтобы больше играть в мультиплеер?","Здесь вы можете написать все, что у вас на уме, связанное с этим опросом. Что вас расстраивает? Что вы хотели бы улучшить?"
"2021/08/31 7:59:11 AM GMT+2","Одиночный режим;Игры Онлайн","Нет","GameRanger;Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","5","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/31 10:29:58 AM GMT+2","Одиночный режим;Игры Онлайн","Нет","Другое","Другое","Да, иногда","Да, временами","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Нет, останется таким же",""
"2021/08/31 12:04:17 PM GMT+2","Игры Онлайн","Нет","GameRanger","GenTool (Старая версия)","Да, часто","Да, часто","2","5","4","Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да",""
"2021/08/31 12:35:54 PM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия)","Нет","Да, временами","4","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да","Да",""
"2021/08/31 12:39:49 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Hamachi;Другое","","Да, иногда","Да, временами","4","5","5","Новые фракции (армии)","Да","Да","Нет","Нет, останется таким же","Никогда не понимал, почему в игре нет фракции Россия. "
"2021/08/31 12:48:42 PM GMT+2","Игры Онлайн","Нет","GameRanger","GenTool (Последняя версия)","Да, часто","Да, временами","3","5","4","Изменения меню;Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да","Нет","Нет, останется таким же",""
"2021/08/31 12:50:51 PM GMT+2","Игры Онлайн","Нет","GameRanger","GenTool (Последняя версия)","Да, иногда","Да, временами","4","5","4","Изменения меню;Изменения внутриигрового интерфейса","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Нет, останется таким же","почините рассинхроны!"
"2021/08/31 12:52:19 PM GMT+2","Игры Онлайн","Нет","GameRanger","GenTool (Последняя версия)","Да, иногда","Да, временами","3","4","4","Изменения внутриигрового интерфейса;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Нет","Нет","Нет, останется таким же",""
"2021/08/31 1:40:15 PM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","GameRanger;CNC Online (Revora)","GenTool (Последняя версия)","Да, иногда","Нет","4","5","5","Изменения внутриигрового интерфейса;Новые юниты, здания или повышения","Да, если изменения будут незначительными","Нет","Нет","Да",""
"2021/08/31 2:19:48 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Другое","Другое","Да, иногда","Да, временами","4","3","3","Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Нет, останется таким же",""
"2021/08/31 3:27:01 PM GMT+2","Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","5","5","5","Изменения меню;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Нет, останется таким же",""
"2021/08/31 4:17:36 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","","","Да, часто","","3","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","Нет","Да",""
"2021/08/31 4:27:43 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д);Другое","Да","Radmin;Hamachi","GenTool (Последняя версия);ControlBarPro","Да, часто","Нет","4","5","2","Изменения меню;Изменения внутриигрового интерфейса;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да","Нет, останется таким же","Добавить в игру официальную Русскоязычную озвучку!
Ну или просто хотябы показать какие вообще есть и рассказать об их недостатках и качестве.

В целом идея фанатского патча неплохая... НО! Всё же я был бы больше рад если бы этот был патч от официальных разработчиков, ибо потому что игррки могут придумать всякий бред который не всем понравится.

И да, самое главное: этот ""ПАТЧ"" ни в коем разе не должен совпадать названием с оригинальным. Можно обозвать его например: v.1.0.4.1 или v.1.0.4.5 или просто ""v.1.0.4 !MORE FIXES!"""
"2021/08/31 5:41:03 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Нет","4","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да","Нет","Нет, останется таким же","Никаких претензий к опросу не имею)"
"2021/08/31 5:53:55 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Hamachi","","Да, иногда","Да, временами","4","3","3","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да, немного","Да",""
"2021/08/31 6:25:58 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия)","Да, часто","Да, временами","3","5","5","Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да","Да","Да",""
"2021/08/31 7:34:18 PM GMT+2","Игры Онлайн","Да","GameRanger;Radmin","GenTool (Последняя версия)","Да, иногда","Нет","5","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да","Нет, останется таким же","Улучшить графику и т.д но чтобы слабые пк или ноуты поднимали)Чтобы новые изменение не сделали из балансированного Generals Zero Hour в Blizzard и чтобы Generals Zero Hour был баланс постоянным и чтобы за любую фракцую можно было выигрывать любую фракцию то есть примерно осталось таким же как есть)"
"2021/08/31 8:50:05 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Другое","Другое","Да, часто","Нет","3","5","5","Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Нет","Да",""
"2021/08/31 8:58:48 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","GenTool (Старая версия)","Да, иногда","Нет","5","5","4","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да, немного","Нет, станет меньше",""
"2021/08/31 11:16:46 PM GMT+2","Игры Онлайн","Нет","Другое","Другое","Нет","Нет","5","5","5","Новые фракции (армии)","Да","Да, если изменения не будут слишком большими","Да","Да",""
"2021/09/01 8:25:00 AM GMT+2","Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Нет","Да, временами","4","4","4","Изменения меню","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Нет","Да",""
"2021/09/01 11:34:23 AM GMT+2","Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Нет","5","5","4","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да","Да","Очень хочется новой версии от официального источника."
"2021/09/01 11:39:34 AM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Другое","Другое","Нет","Да, временами","5","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/09/01 11:43:14 AM GMT+2","Одиночный режим;Игры Онлайн;Другое","Нет","Radmin","GenTool (Последняя версия);ControlBarPro","Да, часто","Да, временами","3","5","5","Изменения меню;Изменения внутриигрового интерфейса","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да","Убрать баги по типу Урала после сворачивания игры, также баг когда играете онлайн и кто-то из пати сворачивает игру, а дальше пустота))"
"2021/09/01 12:13:38 PM GMT+2","Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","Нет","Нет, останется таким же",""
"2021/09/01 1:53:53 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","","GenTool (Последняя версия)","Да, иногда","","4","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да, если изменения будут незначительными","Нет","Да","Да","Было бы прикольно ввести новые турниры, где со старта 50к денег и, к примеру, первые 5 мин. нельзя воевать. Такие бои думаю будут сочные на массовые бои, когда с двух сторон уже огромные пачки готовы. И еще было бы прикольно иметь сообщество в Telegram, не совсем понимаю интерфейс discord)) "
"2021/09/01 2:04:05 PM GMT+2","Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","3","4","4","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Нет, останется таким же",""
"2021/09/01 2:18:13 PM GMT+2","Игры Онлайн","","","","Да, иногда","Да, временами","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да","Да",""
"2021/09/01 2:36:24 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","GameRanger;Radmin","GenTool (Последняя версия);ControlBarPro","Да, иногда","Да, временами","4","5","4","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/09/01 2:56:47 PM GMT+2","Одиночный режим","Нет","Radmin;Hamachi","","Нет","Нет","3","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да",""
"2021/09/01 5:52:18 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Да","GameRanger;Hamachi","GenTool (Последняя версия)","Да, иногда","Нет","5","5","5","Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Нет","Да",""
"2021/09/01 6:59:04 PM GMT+2","Игры Онлайн;Другое","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Нет","5","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да, немного","Нет, останется таким же",""
"2021/09/01 8:29:30 PM GMT+2","Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия);GenTool (Старая версия)","Да, иногда","Да, временами","3","5","4","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да","Да",""
"2021/09/01 9:43:30 PM GMT+2","Одиночный режим;Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Да, иногда","Нет","5","5","5","Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые фракции (армии)","Да","Да","Нет","Нет, останется таким же","Приветствую! Извиняюсь, что лезу со своем мнением, просто мне больно смотреть на то, как вы не используете даже 10% от всех инструментов доступных для развития проекта.

Очень круто, что вы хотите развивать игру через новый патч, это прям кайф! Но не кажется ли вам, что EA games и так создали шедевр? В целом, текущая игра устраивает сообщество и в этом виде. Игра и так офигенная. О ней просто нужно рассказывать бОльшему количеству людей. 

Обязательно нужно создать общий русскоговорящий чат со всеми игроками в телеграмме, чтобы игроки могли объединяться и тренироваться друг с другом. Давать советы друг другу, подключаться к турнирам. 

Если хотите развивать Генералов, то нужно просто популяризировать игру через ведение других социальных сетей (TikTоk и Reels в Instagram). Для этого контента уже и так очень много, просто используйте видео с YouTube канала и перезаливайте в другие соц.сети. 

С данатов нужно проводить розыгрыши для подписчиков (фирменные футболки, мышки, наушники игровые, клавиатуры и т.д.) Участие в розыгрышах будет стимулировать развитие канала. Но для этого нужны ещё и другие социальные сети. 

Люди активней будут оставлять данаты, когда будут видеть, что их средства идут на развитие игры и её популяризацию. Они будут чувствовать себя частью сообщества, а не просто зрителями. 

Проводите обзоры игр не в одного стримера, а устраивайте совместные бартеры с другими стримерами по другим каналам. Например, есть стример, которые играет в другую стратегию, ему можно предложить провести совместную игру в Генералы, но так, чтобы он обязательно стримил это на своём канале. Обмен аудиториями (взаимный пиар) - это классический инструмент для продвижения.

Создайте уже наконец сайт! Люди ищут про вас информацию в Яндексе (22 тысячи человек в месяц по данным яндекс стат https://wordstat.yandex.ru/#!/?words=generals%20zero ). 

Вам нужно формировать команду и первый кто туда должен зайти - это маркетолог, SMM специалист, разработчик и дизайнер. Все они будут качать проект в 10 раз быстрее. При чем важный фактор - все они должны быть фанатами игры и в идеале подписчиками. 

"
"2021/09/02 9:39:10 AM GMT+2","Одиночный режим;Игры Онлайн;Другое","Нет","Radmin;CNC Online (Revora);Другое","GenTool (Старая версия);ControlBarPro;Другое","Да, часто","Да, часто","3","4","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да","Да","Нет","Нет, останется таким же","Хаубиббан, когда сделаешь пост в группу сириеса с этим опросом? А?"
"2021/09/02 9:39:32 AM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","","Radmin","GenTool (Последняя версия);ControlBarPro","Да, часто","Да, часто","2","5","4","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да","Да",""
"2021/09/02 11:43:21 AM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия)","Нет","Нет","3","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","","",""
"2021/09/02 2:12:49 PM GMT+2","Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Нет","5","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да","",""
"2021/09/02 4:06:45 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Hamachi;Другое","","Нет","Нет","4","5","5","Изменения внутриигрового интерфейса;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Нет","Нет, останется таким же",""
"2021/09/02 4:09:38 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Нет","Нет","Да",""
"2021/09/02 4:15:30 PM GMT+2","Одиночный режим","Нет","Hamachi","GenTool (Старая версия)","Нет","Нет","5","5","3","Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Нет","","","Нет, станет меньше",""
"2021/09/02 4:16:55 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","","","Нет","Нет","5","5","1","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да","Нет, останется таким же",""
"2021/09/02 4:20:46 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Да","GameRanger;Hamachi;CNC Online (Revora)","","Да, иногда","Да, часто","3","4","4","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да","Да, немного","Да",""
"2021/09/02 4:56:23 PM GMT+2","Одиночный режим","Нет","CNC Online (Revora)","GenTool (Последняя версия)","Да, часто","Да, временами","4","4","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да",""
"2021/09/02 4:58:28 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Hamachi","GenTool (Последняя версия)","Да, иногда","Да, временами","5","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да, если изменения будут незначительными","Нет","Да","Нет, останется таким же",""
"2021/09/02 5:06:52 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin;Hamachi","GenTool (Последняя версия)","Нет","Да, временами","4","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да","Да",""
"2021/09/02 6:04:59 PM GMT+2","Одиночный режим","Да","GameRanger","GenPatcher","Да, часто","Да, временами","3","3","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/09/02 7:15:28 PM GMT+2","Игры Онлайн","Нет","Radmin;CNC Online (Revora)","","Да, иногда","Да, временами","3","5","4","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да","Нет, останется таким же",""
"2021/09/02 7:16:02 PM GMT+2","Одиночный режим","Нет","Hamachi;CNC Online (Revora)","","Да, часто","Нет","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","Нет","Да",""
"2021/09/02 10:26:14 PM GMT+2","Одиночный режим;Игры Онлайн;Другое","Нет","CNC Online (Revora)","GenTool (Последняя версия)","Да, часто","Да, часто","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да","Да, немного","Да",""
"2021/09/03 8:49:56 AM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","CNC Online (Revora)","GenTool (Последняя версия)","Да, часто","Да, часто","3","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да","Да","Да","1) Улучшить ИИ ботов в одиночных сражениях (например, добавить очень высокую сложность для ботов, как в ванильных генералах, в ZH есть только высокая);
2) Устранить лаги на оригинальных картах в сражениях. Например, на карте Горная Лиса (Mountain Fox) через некоторое время ФПС просидает до 1-5;
3) (В качестве бонуса) Вернуть вырезанный контент от разработчиков. Например, в вызове генералов добавить карты с демо и пехотным генералами"
"2021/09/03 1:40:27 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","GenTool (Последняя версия);ControlBarPro","Да, часто","Да, временами","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","Да","Да",""
"2021/09/03 2:09:23 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","GameRanger","GenTool (Последняя версия)","Нет","Нет","5","5","5","Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Да","Больше новых уровней для прохождения."
"2021/09/03 2:14:03 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","GameRanger","GenTool (Последняя версия);GenTool (Старая версия)","Да, иногда","Нет","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да","Нет, останется таким же","Спасибо за вашу работу и рвение развивать и улучшать зх. Надеюсь это будет не напрасно и генералы заиграет новыми красками)))"
"2021/09/03 2:53:10 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","GenTool (Старая версия)","Да, часто","Нет","4","5","5","","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да","Да","Камера в оригинальных генералах слишком близко, но возможность отдаления камеры в гентуле спорна, ибо в таком случае радар вообще не нужен"
"2021/09/03 3:18:24 PM GMT+2","Игры Онлайн","Нет","GameRanger","GenTool (Старая версия);ControlBarPro;GenPatcher;Maphack","Нет","Да, временами","5","5","5","Изменения меню;Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Нет","Да","Чтобы можно было нанести небольшой урон авроре пока она летит."
"2021/09/03 3:42:44 PM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","4","5","5","Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да","На самом деле, помимо всеми известной ошибки рассинхрона, некоторые фракции и вправду стоит забалансить. К примеру, ванильный китай стоило бы поднять, в то время, как авроры у СВГ стоит чутка пофиксить"
